,comp,a1,a2,différence,Vainqueur,text,difftext
0,Victoires,34,42,-8,Magdalena Forsberg,Magdalena Forsberg à remporté 8 courses de plus que Magdalena Neuner,8
1,Pourcentage de victoires,19,25,-6,Magdalena Forsberg,Magdalena Forsberg à remporté 25% de ses courses soit 6pp de plus que Magdalena Neuner,6
2,Or Olympique,2,0,2,Magdalena Neuner,Magdalena Neuner à remporté 2 titres olympiques,2
3,Medailles Olympiques,3,2,1,Magdalena Neuner,Magdalena Neuner à remporté 1 médaille olympique de plus,1
4,Or Mondial,12,6,6,Magdalena Neuner,Magdalena Neuner à remporté 6 titres mondiaux de plus de plus,6
5,Médailles Mondiales,17,12,5,Magdalena Neuner,Magdalena Neuner à remporté 5 médailles olympiques de plus,5
6,Gros Globes,3,6,-3,Magdalena Forsberg,Magdalena Forsberg à remporté 3 gros globes de plus que sa rivale,3
7,Petits Globes,7,13,-6,Magdalena Forsberg,Magdalena Forsberg à remporté 6 petits globes de plus,6
